Original_Order,Entered_By,Fishery_ID,Umbrella_Organization,Number_of_species,Target_species,Complete_Name,FB_K__1_yr_,FBK_Category,FB_Loo__cm_,FB_Habitat,FB_Migration,FB_Price,FB_Price_Quality,FB_Environment,FB_Trophic,Fish_type,Habitat,Habitat_2,Fished_Habitat,Diet,Species_growth,Adult_movement,Discrete_Movement,Migratory,Forms_aggregations,Consistent_spawning_location,A_in_fishery,MSC_certification,Stock_assessment_,Recorded_Fishery_Closure,Year,Spawning_season,Larval_dispersal_potential,Known_spatial_structure_,Host_Country,Population,Population_growth_rate_,GDP_2009__US_,GDP_from_fishing__US_,A__of_GDP_from_Fishing,Fishery_subsidies_prominent,Subsidy_as_a___of_landed_value,Poverty_index_,Human_Development_Index,Polity_,Institutional_stability,Rule_of_law,Contract_enforcement_Rank,Corruption,Catch_shares,Catch_Share_Types,itq,ivq,ieq,iq,turf,Co_op,Open_access,Limited_entry,tac,Effort_limit,Trip_limit,Size_limit,Season,Gear,mpa,Sex,Species_value,unit_of_value,Composite_Price,Gear_type,Gear_Type_Short,Use_of_catch,Short_catch_use,Species_value_fluctuations,Geographic_range_of_fishing_acti,range_spatially_defined_,Short_Range,Home_Port,Processed,Cooperative_present,Nested_Fishery,Programs_for_Co_op_Formation,Marketing,Profit_Sharing,Cooperative_Administration,co_harvest,Cooperative_TAC,Cooperative_Gear_Restrictions,Cooperative_Size_Limit,Gear_sharing,Direct_Enforcement,Codified_Penalties,Temporal_No_Take,Spatial_No_Take,Restocking,Habitat_Restoration,Gear_Shift,By_catch_avoidance,Research_support,Information_sharing,Coop_Behaviors,Co_op_form_date,Vessels__co_op_,Short_Vessels,Participants__co_op_,Short_participants,Landings__co_op_,Landing_units,Short_landings,Fishing_season__co_op_,Ecosystem_Engineering,Reporting,Spatial,Quota,Temporal,Gear0,Gov_t_Ambivalent,Gov_t_Undermining,Gov_t_Supportive,Degree_of_Co_management,Transfer_Rights,Services_provided_,legal_protection__standing,Enforcement_,Support_of_Voluntary_Regs,Financial_Services,Information_support,Conditions_for_cooperative_exist,Sunset_Clause,OECD,oneper
1,NA,1,0,999,Jacks,Carangidae sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,Finfish - Reef,coral reef,reef-associated,coral reef,Carnivore,Medium,10--100,100,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,Philippines,101833938,1.9,1.89E+11,2090320980,0.011054051,0,0.311910187,0.067,0.638,8,-1.41722644,-0.531200829,118,2.4,1,TURF,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,NA,NA,NA,Artisanal,Artisanal,Local market,Local market,NA,1.06 km2,1,1,Apo Island,0,1,0,NA,0,0,1,NA,0,1,NA,NA,1,NA,0,1,NA,NA,1,0,1,NA,6,1982,NA,NA,100,100,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,1,NA,0,1,1,NA,1,NA,1,0,0,0,1
2,NA,1,0,999,Bignose unicornfish,Naso vlamingii,0.263999999,Medium,60,reef-associated,0,medium,Very questionable: based on ex-vessel price for species in this family,tropical,0,Finfish - Reef,coral reef,reef-associated,coral reef,Omnivore,Medium,1--10,10,NA,1,1,NA,0,0,NA,NA,0,90,0,Philippines,101833938,1.9,1.89E+11,2090320980,0.011054051,0,0.311910187,0.067,0.638,8,-1.41722644,-0.531200829,118,2.4,1,TURF,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,Medium,NA,medium,Hook and line,Hook and line,Local market,Local market,NA,1.06 km2,1,1,Apo Island,NA,1,0,NA,0,0,1,NA,0,1,NA,NA,1,NA,0,1,NA,NA,1,0,1,NA,6,1982,NA,NA,100,100,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,1,NA,0,1,1,NA,1,NA,1,0,0,0,0
3,NA,2,0,1,New Zealand southern scallop,Pecten novaezelandiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Molluscs,subtidal soft bottom,subtidal soft bottom,NA,Filter Feeder,Medium,0,0,0,1,0,NA,0,1,1,1981,1,jun-70,1,New Zealand,4290347,0.88,1.38E+11,1018560844,0.007380876,0,0,NA,0.907,10,0.991906163,1.90990862,9,9.4,1,"ITQ, QMS",1,0,0,0,1,0,0,1,1,0,1,1,1,1,NA,0,13.47,NZ$/kg,Low,Dredge,Dredge,Export,Export,NA,"9,631 km2",1,1,NA,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,10,1994,31,31,NA,NA,65,tonnes biomass,65,0,0,2,1,1,0,0,0,0,1,NA,1,1,1,1,1,1,0,1,0,1,1
4,NA,3,0,5,Red crab,Chaceon bicolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustaceans,soft slope (200-2000m),soft slope,NA,NA,NA,1--10,10,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,New Zealand,4290347,0.88,1.38E+11,1018560844,0.007380876,0,0,NA,0.907,10,0.991906163,1.90990862,9,9.4,1,"ITQ, QMS",1,0,0,0,0,0,0,1,1,0,0,NA,1,1,0,0,NA,NA,NA,Trap,Trap,Export,Export,0,Large,0,0,NA,NA,1,0,NA,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,7,2007,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,1,NA,1,1,1,NA,NA,0,1,0,0,1,1
5,NA,3,0,5,Spider crab,Jacquinotia  edwardsii,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustaceans,Intertidal/soft shelf (30-200m),NA,NA,Invertivore,NA,1--10,10,1,1,NA,NA,0,0,0,NA,1,NA,NA,New Zealand,4290347,0.88,1.38E+11,1018560844,0.007380876,0,0,NA,0.907,10,0.991906163,1.90990862,9,9.4,1,"ITQ, QMS",1,0,0,0,0,0,0,1,1,0,0,NA,1,1,0,0,NA,NA,NA,Trap,Trap,Export,Export,NA,Large,0,0,NA,NA,1,0,NA,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,7,2007,NA,NA,NA,NA,29.592,tonnes biomass,29.592,0,0,1,0,1,0,0,0,0,1,NA,1,1,1,NA,NA,0,1,0,0,1,0
6,NA,3,0,5,King crab,Lithodes murrayi,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustaceans,soft shelf (30-200m),NA,NA,Omnivore,NA,1--10,10,1,1,NA,NA,0,0,0,NA,1,NA,NA,New Zealand,4290347,0.88,1.38E+11,1018560844,0.007380876,0,0,NA,0.907,10,0.991906163,1.90990862,9,9.4,1,"ITQ, QMS",1,0,0,0,0,0,0,1,1,0,0,NA,1,1,0,0,NA,NA,NA,Trap,Trap,Export,Export,NA,Large,0,0,NA,0,1,0,NA,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,7,2007,NA,NA,NA,NA,0.538333333,tonnes biomass,0.538333333,0,0,1,0,1,0,0,0,0,1,NA,1,1,1,NA,NA,0,1,0,0,1,0
7,NA,3,0,5,King crab,Neolithodes brodiei,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustaceans,soft slope (200-2000m),NA,NA,Omnivore,NA,1--10,10,1,1,NA,NA,0,0,0,NA,1,NA,NA,New Zealand,4290347,0.88,1.38E+11,1018560844,0.007380876,0,0,NA,0.907,10,0.991906163,1.90990862,9,9.4,1,"ITQ, QMS",1,0,0,0,0,0,0,1,1,0,0,NA,1,1,0,0,NA,NA,NA,Trap,Trap,Export,Export,NA,Large,0,0,NA,0,1,0,NA,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,7,2007,NA,NA,NA,NA,0.538333333,tonnes biomass,0.538333333,0,0,1,0,1,0,0,0,0,1,NA,1,1,1,NA,NA,0,1,0,0,1,0
9,NA,5,0,15,Surmullet,Mullus surmuletus,0.49000001,Medium,40,demersal,oceanodromous,very high,Reliable: based on ex-vessel price for this species,subtropical,3.42,Finfish-Benthic,"Benthic hard and soft bottom, 5-400 m",NA,NA,Carnivore,Medium,10--100,100,1,NA,NA,NA,0,NA,NA,NA,1,NA,0,Turkey,78785548,1.24,7.29E+11,1002618406,0.001375145,0,0.07283879,0.039,0.679,7,-0.882407689,0.121870318,25,4.4,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,High,NA,high,Gillnet / Entangling net / Long-line,Gillnet,Local market,Local market,NA,"Central Aegean coast of turkey, in vicinity of port of Foca port",0,0,"Foca, Turkey",0,1,1,0,0,0,1,NA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1992,NA,NA,126,126,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,NA,0,0,0,1,NA,1,0,0,0,1,1
10,NA,5,0,15,Porgy,Pagrus pagrus,0.136999995,Low,91,benthopelagic,oceanodromous,very high,Reliable: based on ex-vessel price for this species,subtropical,3.65,Finfish-Benthic,hard bottom (0-250m),NA,NA,Carnivore,Medium,1--10,10,0,0,0,NA,0,NA,NA,NA,1,23-32,0,Turkey,78785548,1.24,7.29E+11,1002618406,0.001375145,0,0.07283879,0.039,0.679,7,-0.882407689,0.121870318,25,4.4,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Very high,NA,high,Gillnet / Entangling net / Long-line,Gillnet,Local market,Local market,NA,"Central Aegean coast of turkey, in vicinity of port of Foca port",0,0,"Foca, Turkey",0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,1992,NA,NA,126,126,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,NA,0,0,0,1,NA,1,0,0,0,1,0
11,NA,6,0,999,Cod - Georges Bank,Gadus morhua,0.090000004,Low,200,benthopelagic,oceanodromous,medium,Reliable: based on ex-vessel price for this species,temperate,3.73,Finfish-Benthic,hard shelf,NA,hard shelf,Carnivore,High,100-1000,1000,1,1,0,NA,0,1,1,1995,1,100,0,United States,313232044,0.96,1.46E+13,5757808667,0.000393831,0,0.026857001,NA,0.902,10,0.40989339,1.525049029,8,7.5,1,"ITQ, ITEQ, IQ, CQ, CFQ, TURF, Coops",0,0,1,0,0,1,0,NA,1,1,0,1,1,1,1,0,Medium,NA,medium,Hook and line,Hook and line,NA,NA,NA,"Large region along the georges bank, New England. See source for map.",0,0,NA,NA,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,4,2004,19,19,58,58,27,tonnes biomass,27,01-dic,0,1,1,1,1,0,0,0,1,NA,1,1,1,NA,0,0,1,1,0,1,1
